LWIN1	184968	34502	408
France	Alsace
Argentina	Mendoza
Argentina	San Juan
Argentina	Salta
Australia	South Australia
Australia	Victoria
United States	California
Australia	New South Wales
Australia	Western Australia
Chile	Central Valley
Australia	
France	Bordeaux
France	
France	Sud Ouest
France	Burgundy
France	Beaujolais
France	Jura
France	Champagne
Italy	
Chile	Aconcagua
Germany	Rheingau
Germany	Pfalz
Germany	Mosel
Germany	Franken
Germany	Nahe
Germany	Rheinhessen
Germany	Mittelrhein
Hungary	Tokaj
Italy	Tuscany
Italy	Piedmont
Italy	Veneto
Italy	Abruzzo
Italy	Lombardia
Italy	Umbria
Italy	Lazio
Italy	Campania
Italy	Vigneti delle Dolomiti
Italy	Friuli Venezia Giulia
Spain	Cava
Italy	Puglia
Italy	Sicily
Italy	Marche
Lebanon	Bekaa Valley
France	Loire
New Zealand	Hawke's Bay
New Zealand	Marlborough
New Zealand	
New Zealand	Central Otago
New Zealand	Wairarapa
New Zealand	Auckland
Portugal	Porto
Portugal	Douro
France	Rhone
France	Vaucluse
Hungary	Villany
France	Languedoc
South Africa	Coastal Region
France	Pays d'Oc
France	Roussillon
France	Cotes Catalanes
France	Provence
France	Gard
Spain	Castilla y Leon
Spain	
Spain	Galicia
Spain	Rioja
Spain	Catalunya
Spain	Castilla La Mancha
Spain	Navarra
United Kingdom	England
United States	Oregon
Portugal	Dao
Australia	South Eastern Australia
Chile	
Italy	Orvieto
Italy	Trentino Alto Adige
Italy	Delle Venezie
Mexico	Baja California
Italy	Prosecco
South Africa	Breede River Valley
South Africa	
Spain	Valencia
Portugal	Moscatel de Setubal
Austria	Niederosterreich
New Zealand	Waitaki Valley North Otago
Portugal	Madeira
Spain	Jumilla
United States	Walla Walla Valley
Spain	Andalucia
Argentina	La Rioja
Israel	Judean Hills
Italy	Garda
South Africa	Cape South Coast
Spain	Aragon
Portugal	Lisboa
Austria	Burgenland
South Africa	Olifants River
Italy	Emilia Romagna
Portugal	Alentejano
Hungary	
France	Corsica
Japan	
New Zealand	Canterbury
New Zealand	Nelson
Italy	Sardinia
Italy	Colli di Luni
Italy	Basilicata
Italy	Valle d'Aosta
Canada	British Columbia
Greece	Aegean Islands
Greece	Macedonia
Greece	
Spain	Pais Vasco
South Africa	Western Cape
United States	Washington
Italy	Lugana
Australia	Tasmania
Canada	Ontario
Switzerland	Vaud
Switzerland	Geneve
Uruguay	
Switzerland	Valais
Turkey	
Brazil	
Switzerland	Zurich
Slovenia	Primorska
Luxembourg	Moselle Luxembourgeoise
United States	New York
Argentina	Patagonia
Portugal	Alentejo
Portugal	Bairrada
Portugal	
Argentina	Calchaqui Valley
Germany	Ahr
France	Mediterranee
Germany	Baden
Portugal	Tejo
Spain	Balearic Islands
